アパレル業界,44487.0,3275.0,3.9,2.2,37067.0,37427.0,38.7,12.2,510.0
インターネット業界,17121.0,4306.0,13.6,10.9,38591.0,21340.0,33.5,4.2,518.0
インテリア業界,6484.0,993.0,7.4,7.0,6756.0,5052.0,35.6,7.6,512.0
ガス業界,49988.0,3076.0,3.8,4.8,54907.0,24705.0,41.7,17.7,610.0
ガラス業界,27241.0,1824.0,3.6,-6.1,45875.0,18251.0,39.3,15.9,576.0
カフェ業界,2429.0,454.0,3.3,5.2,5118.0,8326.0,37.4,9.2,533.0
カラオケ業界,1351.0,493.0,5.3,-0.7,4789.0,2213.0,39.0,8.4,581.0
カー用品店業界,4606.0,338.0,3.6,-0.9,4369.0,2887.0,39.7,11.5,555.0
クレジットカード業界,14870.0,2211.0,10.4,-4.6,204404.0,17919.0,39.7,13.1,596.0
ゲーム業界,22108.0,4048.0,7.2,-9.1,176635.0,22035.0,35.0,6.7,647.0
ゴム・タイヤ業界,54242.0,4679.0,5.2,-0.8,56050.0,42073.0,40.9,16.0,569.0
ゴルフ場業界,2397.0,212.0,4.1,1.1,8683.0,7923.0,46.0,10.7,325.0
コンビニ業界,59946.0,4396.0,3.5,1.9,61718.0,25837.0,39.3,12.6,575.0
サービス業界,146838.0,10806.0,3.9,2.3,163051.0,243229.0,37.6,8.0,519.0
ジュエリー業界,2315.0,119.0,1.0,1.3,2938.0,6696.0,37.3,7.4,388.0
スポーツクラブ業界,2265.0,334.0,5.1,2.6,4568.0,2737.0,34.7,7.5,562.0
スポーツ用品店業界,4623.0,284.0,3.0,4.1,3886.0,4755.0,39.1,11.6,465.0
スポーツ用品業界,7906.0,823.0,5.5,1.1,9489.0,8547.0,40.4,14.8,577.0
スーパー業界,201400.0,7373.0,1.7,0.8,149827.0,68992.0,39.9,13.4,484.0
テレビ業界,27800.0,2579.0,5.4,-0.2,45502.0,11043.0,42.6,16.5,976.0
ドラッグストア業界,40193.0,1999.0,2.5,10.3,20046.0,23447.0,37.1,7.2,515.0
パチンコ(製造)業界,8206.0,1508.0,13.2,0.8,19880.0,5201.0,38.3,9.9,727.0
パン業界,12408.0,337.0,1.0,1.3,8579.0,18290.0,38.3,13.4,468.0
ビル管理業界,7191.0,399.0,3.1,5.4,4934.0,22730.0,44.6,9.0,424.0
ビール業界,26232.0,3725.0,6.0,-3.3,70547.0,1220.0,42.2,16.4,895.0
